0.0004;0.156;0.2038;0.2334
0.001;0.1199;0.1562;0.1673
0.0021;0.0958;0.1254;0.1335
0.005;0.071;0.0913;0.1006
0.0071;0.0615;0.0789;0.0888
0.0099;0.0542;0.0708;0.0785
0.0139;0.047;0.0624;0.0695
0.02;0.0394;0.055;0.06
0.0333;0.0311;0.0451;0.0497
